mal_id,title_english,title_japanese,synonyms,media_type,status,num_episodes,start_date,mean,rank,popularity,num_scoring_users,members,source,rating,studios,genres,themes,synopsis
36882,Arifureta: From Commonplace to World's Strongest,ありふれた職業で世界最強,From Common Job Class to the Strongest in the World,tv,finished_airing,13,2019-07-08,6.72,6500,277,458935,812678,light_novel,pg_13,asread.|White Fox,Action|Adventure|Fantasy|Harem|Isekai,Isekai,"The ordinary life of 17-year-old otaku Hajime Nagumo is disrupted when he and his classmates are summoned to a fantasy world and tasked with saving mankind. While his classmates are gifted with impressive abilities useful in combat, Hajime is belittled for only gaining an inferior transmutation skill that lacks any real offensive power. 

During an expedition in the Great Orcus Labyrinth, Hajime is betrayed by one of his classmates, plummeting him to the bottom of an abyss. Though he survives the fall, Hajime is faced with menacing monsters and misfortunes that send him spiraling into a grim nightmare. Desperate to live and return home one day, he resolves to fight for his survival—only to meet an imprisoned vampire he names Yue, who is also seeking to escape the labyrinth. Taking an interest in him, Yue and a few others along the way accompany Hajime on his journey to find a way back home, while steadily transforming from commonplace to the world's strongest. 

[Written by MAL Rewrite]"
51219,My One-Hit Kill Sister,異世界ワンターンキル姉さん ～姉同伴の異世界生活はじめました～,N/A,tv,finished_airing,12,2023-04-08,6.31,9104,1997,47499,128302,manga,pg_13,Gekkou,Comedy|Fantasy|Isekai|Seinen,Isekai,"While saving a child from harm, otaku Asahi Ikusaba is transported to another world and believes he has reincarnated with cheat skills similar to those of the characters from his favorite games and novels. Unfortunately, reality strikes when an encounter with a powerful monster shows that he is still nothing more than an average person.

In this moment of extreme danger, Asahi instinctively calls out to his overly doting sister, Maya, who appears out of nowhere, possessing the overpowered abilities he thought he had. Maya is ecstatic to see her brother again and resolves to use her newfound powers to protect Asahi no matter what.

Together, the close-knit siblings attempt to find a way back home while enjoying their new lives. However, it soon becomes clear that their arrival in this world may have had a purpose. With the Demon King's overwhelmingly powerful army approaching, no one but Maya seems to be able to stand in its way.

[Written by MAL Rewrite]"
21,One Piece,ONE PIECE,OP,tv,currently_airing,0,1999-10-20,8.73,55,17,1521344,2664959,manga,pg_13,Toei Animation,Action|Adventure|Fantasy|Shounen,Isekai|Martial Arts|Reincarnation,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it.

The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many.

As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure.

[Written by MAL Rewrite]"
1045,Those Who Hunt Elves,エルフを狩るモノたち,N/A,tv,finished_airing,12,1996-10-04,7.02,4747,4622,11856,30578,manga,pg_13,Group TAC,Adventure|Comedy|Ecchi|Fantasy|Isekai|Shounen,Isekai,"Loudmouthed martial artist Junpei Ryuzouji, elegant actress Airi Komiyama, and cheery but artillery-obsessed student Ritsuko Inoue all find themselves transported from their homeland of Japan to an unfamiliar, magical world. When the elven priestess Celcia Marieclaire casts the spell to send them home, she is interrupted, and the spell is broken into parts that scatter throughout the world. The spell fragments imprint themselves onto the skin of various elves.

The trio travels in Ritsuko's tank, searching for elves who might carry the spell fragments so that Celcia can transfer them to her own body and make the spell whole again. As they adventure, people begin to refer to them as ""Those Who Hunt Elves,"" gaining a reputation as warriors that put a stop to evil-doers with their miraculous cannon, terrifying elves by stripping any that they find. Though they're not the smartest group, they make up for it with enthusiasm and their strong determination to get back to Japan.

[Written by MAL Rewrite]"
1046,Those Who Hunt Elves II,エルフを狩るモノたち II,N/A,tv,finished_airing,12,1997-10-02,7.06,4544,6074,7742,15449,manga,pg_13,Group TAC,Adventure|Comedy|Fantasy|Isekai|Shounen,Isekai,"After Junpei botched the second attempt to transport back to Japan, the four embark their journey once again to collect runes imprinted on skin of Elven females by stripping them. Celsia is cursed into the form of another animal this time.

(Source: ANN)"
2074,Kerokero Chime,ケロケロちゃいむ,N/A,tv,finished_airing,30,1997-03-06,6.92,5280,12355,751,2206,manga,pg_13,Studio Comet,Adventure|Comedy|Fantasy|Isekai|Parody,Isekai,"Aoi, a regular boy, is cursed with a spell that turns him into a frog whenever he gets wet. He is sent to another world with a frog kingdom to find the princess to undo the spell. When he finds out that she doesn't know how to lift the curse, they set out to find the spell that will. Along the way they meet many interesting creatures, come across many dangers, and make many new friends. 

(Source: ANN)"
61469,Steel Ball Run: JoJo's Bizarre Adventure,スティール・ボール・ラン ジョジョの奇妙な冒険,JoJo's Bizarre Adventure Part 7: Steel Ball Run|JoJo no Kimyou na Bouken Part 7: Steel Ball Run|SBR,ona,currently_airing,0,2026-03-19,9.16,2,1470,85076,188262,manga,r,David Production,Action|Adventure|Historical|Mystery|Racing|Seinen|Shounen|Supernatural,Isekai|Martial Arts|Reincarnation,"In the American Old West, the world's greatest race is about to begin. Thousands line up in San Diego to travel over six thousand kilometers for a chance to win the grand prize of fifty million dollars. With the era of the horse reaching its end, contestants are allowed to use any kind of vehicle they wish. Competitors will have to endure grueling conditions, traveling up to a hundred kilometers a day through uncharted wastelands. The Steel Ball Run is truly a one-of-a-kind event.

The youthful Johnny Joestar, a crippled former horse racer, has come to San Diego to watch the start of the race. There he encounters Gyro Zeppeli, a racer with two steel balls at his waist instead of a gun. Johnny witnesses Gyro using one of his steel balls to unleash a fantastical power, compelling a man to fire his gun at himself during a duel. In the midst of the action, Johnny happens to touch the steel ball and feels a power surging through his legs, allowing him to stand up for the first time in two years. Vowing to find the secret of the steel balls, Johnny decides to compete in the race, and so begins his bizarre adventure across America on the Steel Ball Run.

[Written by MAL Rewrite]"
57380,A Journey Through Another World: Raising Kids While Adventuring,異世界ゆるり紀行 ～子育てしながら冒険者します～,Iseyuru|Isekai Yururi Kikou: Raising Children While Being an Adventurer,tv,finished_airing,12,2024-07-08,6.68,6794,2426,43123,97313,light_novel,pg_13,EMT Squared,Adventure|Childcare|Fantasy|Isekai,Isekai,"Due to a careless mistake, god of wind Silphyleel unintentionally kills a 28-year-old man named Takumi Kayano. Unfortunately, Silphyleel cannot return Takumi to Earth. Instead, the deity reincarnates Takumi into the fantasy world of Etelldia.

Equipped with an assortment of magical powers and bottomless inventory, Takumi spawns in the Forest of Gaia, where high-level monsters roam free. There, he meets five-year-old twins who, despite the dangerous environment, are still alive thanks in part to their extraordinary physical strength. Takumi decides to take them under his wing, naming them Allen and Elena. As the trio embarks on their grand adventure in Etelldia, their very existence may impact the world's destiny.

[Written by MAL Rewrite]"
9253,Steins;Gate,STEINS;GATE,N/A,tv,finished_airing,24,2011-04-06,9.07,5,14,1515345,2801589,visual_novel,pg_13,White Fox,Drama|Psychological|Sci-Fi|Suspense|Time Travel,Isekai|Martial Arts|Reincarnation,"Eccentric scientist Rintarou Okabe has a never-ending thirst for scientific exploration. Together with his ditzy but well-meaning friend Mayuri Shiina and his roommate Itaru Hashida, Okabe founds the Future Gadget Laboratory in the hopes of creating technological innovations that baffle the human psyche. Despite claims of grandeur, the only notable ""gadget"" the trio have created is a microwave that has the mystifying power to turn bananas into green goo.

However, when Okabe attends a conference on time travel, he experiences a series of strange events that lead him to believe that there is more to the ""Phone Microwave"" gadget than meets the eye. Apparently able to send text messages into the past using the microwave, Okabe dabbles further with the ""time machine,"" attracting the ire and attention of the mysterious organization SERN.

Due to the novel discovery, Okabe and his friends find themselves in an ever-present danger. As he works to mitigate the damage his invention has caused to the timeline, Okabe fights a battle to not only save his loved ones but also to preserve his degrading sanity.

[Written by MAL Rewrite]"
2084,NG Knight Ramune & 40,NG騎士ラムネ＆４０,Knight Lamune & 40|NG Kishi Ramune & 40,tv,finished_airing,38,1990-04-06,7.3,3126,9315,1676,5332,original,pg_13,Ashi Productions,Adventure|Comedy|Fantasy|Isekai|Mecha,Isekai,"Lamune is an ordinary 4th grade boy who loves playing video games. He buys one from a peddler girl and helps her sell the rest. At home, he plays the game called ""King Sccasher"" & beats it. The peddler girl then comes out of the TV screen and asks for his help, calling him ""The Blood Relative of the Chosen Hero Lamuness"". She is Princess Milk and takes him to Hara-Hara World where his role is to revive the Guardian Knights. To do this, he had to find an unlock the shrine which held Tama-Q, a robot who became Lamuness' Advisor Robot, and key to freeing the Guardian Knights. All of the Knights are free-thinking mechas except for King Sccasher which is piloted by Lamuness. Opposing Lamuness is Don Harumage and his minions Da Cider and Lesuka. 

(Source: ANN)"
2085,NG Knight Ramune & 40 EX: Biku Biku Triangle Ai no Arashi Daisakusen,NG騎士ラムネ&40EX ビクビクトライアングル愛の嵐大作戦,NG Knight Ramune & 40 EX,ova,finished_airing,3,1991-07-21,6.76,6269,12715,713,1993,original,pg_13,Ashi Productions,Adventure|Comedy|Fantasy|Isekai|Mecha,Isekai,"Lamune has returned to Earth with no memory of his adventures on Hara-Hara world and Doki-Doki space. The remains of Gobuhriki find their way to Earth, and awaken the spirit of Don Harumage. While Cocoa builds a fighting vehicle with stuff she finds around Tokyo, Milk and Leska set off to find Lamune and Da Cider to save the day before the new Gobuhriki is revived and destroys the Earth. 

(Source: ANN)"
54312,Genshin Impact: Lantern Rite PV - Dream Upon a Lantern,《原神》海灯节CM短片：明霄幻梦,【原神】海灯祭PV「明霄幻夢」,pv,finished_airing,1,2023-01-22,7.48,,10015,2061,4319,game,pg_13,N/A,Fantasy|Isekai,Isekai,"On the first full moon of the year on the continent of Teyvat, members of the seven nations meet in Liyue to celebrate Lantern Rite. As a festival that honors fallen heroes from the Archon War and invigorates the soldiers of today, Lantern Rite is Liyue's most significant celebration, and its festivities are highly anticipated all across Teyvat. Participants of the five-day-long event spend time together eating, drinking, and sightseeing as lanterns rise once more.

[Written by MAL Rewrite]"
62503,Fuun kara no Saikyou Otoko,不運からの最強男,"The Strongest Man, Born from Misfortune",tv,not_yet_aired,0,N/A,,,15424,0,954,light_novel,N/A,N/A,Action|Fantasy|Isekai|Reincarnation,Isekai|Reincarnation,"""Fortune and Misfortune are two sides of the same coin?! Reverse any adversary and cease redemption!!"" Siegbert is reborn after an unfortunate accident in his previous life. His new family is warm and welcoming... so much so it seems as though he may no longer be an unlucky person. In this world, he can finally live a quiet, peaceful life... or so he thought. It seems that he actually holds an insanely high luck stat in this new world...? ""Every chance is a manifestation of good fortune. If you can cease the chances, your wishes shall be granted..."" Conquering each ""chance"" granted by his good fortune, will he now cease redemption on the generational legacy this family has yet to fulfill?!

(Source: Starts Shuppan)"
50220,Summoned to Another World for a Second Time,異世界召喚は二度目です,Isenido,tv,finished_airing,12,2023-04-09,5.67,12500,1445,73377,190228,light_novel,pg_13,Studio Elle,Adventure|Comedy|Fantasy|Harem|Isekai|Romance,Isekai,"There was once a man who was summoned to another world, and saved it. Of course, he became too popular there, and turned into an isekai-normie. However, that man fell into a ""trap"" and was forcibly returned to his original world. Moreover, he had to start over as a baby!

This is the story of the way-too-fantastic ex-hero who lived as a gloomy high-schooler, as he gets summoned once again to that same other world in a very unexpected development! 

(Source: Coolmic, edited)"
60460,Hell Mode: The Hardcore Gamer Dominates in Another World with Garbage Balancing,ヘルモード ～やり込み好きのゲーマーは廃設定の異世界で無双する～,N/A,tv,finished_airing,12,2026-01-10,7.19,3804,3081,28253,65339,light_novel,pg_13,Yokohama Animation Lab,Action|Adventure|Fantasy|Isekai|Reincarnation,Isekai|Reincarnation,"Kenichi Yamada has spent most of his adult life chasing the next punishing challenge in online gaming, only to find the modern landscape dominated by forgiving mechanics. As if fate were listening to his desire, Kenichi receives a sudden, mysterious invitation to an untitled game promising an inconceivable level of difficulty. Delighted, he selects its most ruthless setting without hesitation—Hell Mode.

However, instead of diving into another virtual game, Kenichi is reborn in another world as a peasant named Allen, forced to grapple with a cruelly complex system where even the basics of progression demand relentless effort. Consequently, Allen must build his strength from the ground up and learn to master the summoner class. With his resilience being tested at every turn, Allen embarks on an uncharted journey that might just prove to burn hotter than actual hell.

[Written by MAL Rewrite]"
62512,"Reborn as a Vending Machine, I Now Wander the Dungeon Season 3",自動販売機に生まれ変わった俺は迷宮を彷徨う3期,"I Was Reborn as a Vending Machine, Wandering in the Dungeon, I Reincarnated Into a Vending Machine",tv,currently_airing,0,2026-04-01,6.7,6668,5439,1367,20724,light_novel,pg_13,Studio Gokumi|AXsiZ,Comedy|Fantasy|Isekai|Reincarnation,Isekai|Reincarnation,The third season of Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou. 
39988,Isekai Quartet 2,異世界かるてっと2,N/A,tv,finished_airing,12,2020-01-15,7.36,2791,1091,152885,256227,original,pg_13,Studio PuYUKAI,Comedy|Fantasy|Isekai|Parody,Isekai,"Despite completing all the tasks given to them, Ainz Ooal Gown, Tanya Degurechaff, Kazuma Satou, Subaru Natsuki, and the other members of Class 2 are surprised to find out that their role as students is far from over. With no means of returning home, the class of eccentric personalities is still mysteriously stuck in the unfamiliar world. Although, as they are becoming quite fond of each other, spending more time together does not sound that bad.

With the unexpected arrival of new transfer students, the comedic antics of our beloved characters continue to grow. Thus, their bizarre yet nonchalant school life continues.

[Written by MAL Rewrite]"
11319,The Familiar of Zero F,ゼロの使い魔F,Zero no Tsukaima Final Series|Zero's Familiar Final Series|Zero no Tsukaima S4,tv,finished_airing,12,2012-01-07,7.41,2597,592,253885,445834,light_novel,pg_13,J.C.Staff,Action|Adventure|Comedy|Ecchi|Fantasy|Harem|Isekai|Romance|School,Isekai,"Saito Hiraga and Louise Françoise Le Blanc de La Vallière go on the offensive after the events of Zero no Tsukaima: Princesses no Rondo. Together, they face off against King Joseph in the Holy City of Romalia with the help of two others who control the power of the ""void."" But in the midst of the many conflicts ahead of them, an ancient evil begins to stir in the shadows. 

Will their close bonds blossom into something more or will they be shattered through the ever increasing difficulty of the tasks that they must undertake? Zero no Tsukaima F follows the story of Louise and Saito as they face their final challenges together.

[Written by MAL Rewrite]"
52281,Harem in the Labyrinth of Another World Specials,異世界迷宮でハーレムを,N/A,special,finished_airing,2,2022-11-25,6.63,,4345,13306,34946,light_novel,r+,Passione,Erotica|Fantasy|Isekai,Isekai,Sex scenes that were cut from the main anime. 
47162,The Executioner and Her Way of Life,処刑少女の生きる道〈バージンロード〉,Shokei Shoujo no Ikiru Michi,tv,finished_airing,12,2022-04-02,6.77,6214,1444,65420,190312,light_novel,r,J.C.Staff,Action|Adventure|Fantasy|Isekai,Isekai,"Average student Mitsuki Mutou suddenly finds himself transported to another realm. Summoned by the king of this world for the remarkable power he is supposed to possess, Mitsuki is thrown out when it appears that he lacks a Special Concept. Moping about, he encounters a priestess named Menou who explains that Japanese people like him are known as Lost Ones, and such individuals never fail to have Special Concepts.

Menou elaborates that she is part of a church that helps abandoned Lost Ones integrate into society. She invites him to spend the night at her church, where the two can probe the nature of his ability. Eventually, they discover that Mitsuki's Special Concept is actually incredibly powerful and dangerous.

But is Menou's true goal to assist Lost Ones—or the opposite?

[Written by MAL Rewrite]"
47163,My Isekai Life: I Gained a Second Character Class and Became the Strongest Sage in the World,転生賢者の異世界ライフ ～第二の職業を得て、世界最強になりました～,Tensei Kenjya no Isekai Life,tv,finished_airing,12,2022-07-04,6.32,9065,1111,103881,252370,light_novel,pg_13,Revoroot,Action|Adventure|Fantasy|Isekai,Isekai,"After working himself to death in a hostile corporate environment, Yuuji Sano gets a second chance when he transmigrates to a game-like fantasy world. Although he wishes to lead an unassuming life, Yuuji learns that he has the title of a Monster Tamer, the weakest rank of adventurer. With his newfound skills, he tames a number of slimes around him and, with their help, acquires magical powers to become a Sage—a second profession that capitalizes on such potential.

Even after gaining overwhelming strength, the scars from the life Yuuji left behind keep him from going all out. However, he might not be able to hide his abilities for much longer, as unforeseen dangers threaten to destroy the world that is now his only home.

[Written by MAL Rewrite]
"
21563,Kamigami no Asobi,神々の悪戯,Kamigami no Asobi: Ludere deorum|Kamiaso,tv,finished_airing,12,2014-04-06,6.99,4903,1731,68295,153692,visual_novel,pg_13,Brain's Base,Fantasy|Isekai|Josei|Mythology|Reverse Harem|Romance,Isekai,"After discovering a mysterious sword in the storehouse of her home, third-year high school student Yui Kusanagi finds herself suddenly transported to a different world. While exploring her new surroundings, she meets five strange yet handsome men before coming face to face with Zeus: the king of the gods. 

In order to restore the deteriorating relationship between the gods and humans, Zeus has created the Academy of the gods and has chosen Yui to be its one and only instructor. She has one year to educate the young and reluctant deities—including the five strangers she met earlier—on what it means to be human while learning about the gods herself; otherwise, they will all be trapped in Zeus' realm forever.

[Written by MAL Rewrite]"
16444,"Problem Children Are Coming from Another World, Aren't They? OVA",問題児たちが異世界から来るそうですよ? 〜温泉漫遊記〜,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo? OVA,ova,finished_airing,1,2013-07-20,7.18,3880,2549,49774,89990,light_novel,pg_13,Diomedéa,Comedy|Ecchi|Fantasy|Isekai,Isekai,"Izayoi, Asuka, and You have been invited to participate in a Gift-Game at a hot spring village to help the small community there find a new water source.

OVA bundled with the eighth volume of the light novel."
49215,Celia-sensei no Wakuwaku Magical Kyoushitsu,セリア先生のわくわくまじかる教室,Seirei Gensouki Mini Anime|Celia-sensei's Exciting Magical Classroom|Instructor Celia's Exciting Magical Classroom,ona,finished_airing,18,2021-05-25,6.04,10609,8735,1683,6263,light_novel,pg_13,AQUA ARIS,Comedy|Fantasy|Isekai|Reincarnation,Isekai|Reincarnation,Informational mini anime posted on the anime's official Twitter and HJ Bunko/HJ Novel's official YouTube channel.
49220,Uncle from Another World,異世界おじさん,Isekai Uncle|Ojisan in Another World,tv,finished_airing,13,2022-07-06,7.75,1284,629,199005,425997,web_manga,pg_13,Atelier Pontdarc,Adult Cast|Comedy|Fantasy|Isekai|Parody,Isekai,"After a fatal encounter with a truck, Takafumi Takaoka's uncle, Yousuke ""Ojisan"" Shibazaki, lies comatose for 17 years. When he finally regains consciousness, Ojisan begins to ramble in a foreign tongue and reveals that he had been transported to a magical world called Gran Bahamal. Takafumi dismisses his uncle's claims as nonsense until an incantation makes a cup of water hover in the air. In a flash of brilliance, the pair creates a YouTube channel to showcase Ojisan's magical abilities.

The responsibility now falls on Takafumi's shoulders to acquaint Ojisan with everything that has transpired during his absence, including getting him up to speed with the internet, new technology, and surprisingly, the outcome of the '90s console war—the result of which was especially distressing for a hardcore SEGA fan. With Ojisan's wisdom from his other world experiences, they grow their YouTube channel and tackle online comments and trolls. The journey of this uncle-nephew duo promises to be anything but conventional.

[Written by MAL Rewrite]"
49223,Game World Reincarnation,王子の本命は悪役令嬢,Game World Reincarnation: Sex on the First Night,ona,finished_airing,8,2022-01-10,5.9,,7361,2654,9652,web_manga,rx,Studio Hokiboshi,Fantasy|Hentai|Isekai|Josei|Villainess,Isekai,"""You're my fiancé, so it's only natural that we do this tonight."" He kisses me deeply and devours my whole body... My first sweet kiss on my first night of reincarnation.

Office worker dies from overworking and gets reincarnated as the villain in her favorite otome game. Will she be able to keep her fiancé or will she lose him to the protagonist? 

(Source: MAL News)"
63559,"Bad End Mokuzen no Heroine ni Tensei shita Watashi, Konse dewa Renai suru Tsumori ga Cheat na Ani ga Hanashite Kuremasen!?",バッドエンド目前のヒロインに転生した私、今世では恋愛するつもりがチートな兄が離してくれません!?,"I Was Reincarnated as the Heroine on the Verge of a Bad Ending, and I'm Determined to Fall in Love!",unknown,not_yet_aired,0,N/A,,,17031,0,648,light_novel,N/A,N/A,Fantasy|Isekai|Reincarnation|Romance,Isekai|Reincarnation,"A dating sim enthusiast wakes up in the body of Reine Waynewright: an adorable otome heroine in a fantasy game! Reine discovers that in this world, she's a lowly F-rank student at the magical Heartfelt Academy, bullied by her classmates and snubbed by her love interests for her lack of talent. Determined to avoid a Bad Ending, Reine resolves to study hard, practice her magic, and pass the exams to increase her rank!

If she grinds hard enough, she may be able to change her fate: make new friends, improve herself, and maybe even fall in love along the way!

(Source: Tokyopop)"
